~~ pass : , 044*4591B#9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8#B*9772AC#76*956C9.wav" decoded to "8#B**9772AC#76*956C9" instead of "8#B*9772AC#76*956C9"
~~ pass : , *38#6B19*057*3*#4
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/#*82994#44*3670.wav" decoded to "#*2994#44*3670" instead of "#*82994#44*3670"
~~ pass : , 7##8464458162C16
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/165CCC2*C427B9B6.wav" decoded to "165CCC2*C4279B6" instead of "165CCC2*C427B9B6"
~~ pass : , 00466BC288A608
~~ pass : , 30#7C00886
~~ pass : , C*30A
~~ pass : , 45#94ABB#C*#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/C37009BA*.wav" decoded to "C37009A*" instead of "C37009BA*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/63*2612986C9#3.wav" decoded to "63*2129869#3" instead of "63*2612986C9#3"
~~ pass : , 09#84A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*3#3*30858C9AB#A6A1.wav" decoded to "*3#3*30858C9AB##A6A1" instead of "*3#3*30858C9AB#A6A1"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*188087BA1AC218A1C.wav" decoded to "*188087BA1AC218A11C" instead of "*188087BA1AC218A1C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/C676#24#891.wav" decoded to "676#24#891" instead of "C676#24#891"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*962B.wav" decoded to "*962" instead of "*962B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/0AC9C#5#05A*4659.wav" decoded to "0C9C#5#05A*4659" instead of "0AC9C#5#05A*4659"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/89#2C5.wav" decoded to "89#22C5" instead of "89#2C5"
~~ pass : , C497*5*42*5*139A8
~~ pass : , 6*858CB35
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/ABBC91047AC92.wav" decoded to "ABBC1047AC92" instead of "ABBC91047AC92"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/C867C697AB00B3.wav" decoded to "C87C697AB00B3" instead of "C867C697AB00B3"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/86134695C2B085*.wav" decoded to "8613469C2B085*" instead of "86134695C2B085*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/0BC#6C#99*A.wav" decoded to "0BC##6C#99*A" instead of "0BC#6C#99*A"
~~ pass : , 330*4695
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/209B18A*5A76C0.wav" decoded to "209B1A*5A76C0" instead of "209B18A*5A76C0"
~~ pass : , 2*9*058*B*#6C#11C1
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B2B71A3#249703A.wav" decoded to "B2B71A3#2497003A" instead of "B2B71A3#249703A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/#B#8*27815B5.wav" decoded to "#B#8*278115B5" instead of "#B#8*27815B5"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8*0#6A2##1B#2*1CC8.wav" decoded to "8*00#6A2##1B#2*1CC8" instead of "8*0#6A2##1B#2*1CC8"
~~ pass : , 8*9502
~~ pass : , *7#B10B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/3B9*7A*9.wav" decoded to "B9*7A*9" instead of "3B9*7A*9"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/09*4BA*B6#C929038.wav" decoded to "09*4BA**B6#C929038" instead of "09*4BA*B6#C929038"
~~ pass : , 244BA5
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/578C*39.wav" decoded to "57C*39" instead of "578C*39"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B3BB99##.wav" decoded to "B3BB9##" instead of "B3BB99##"
~~ pass : , 452BAC57720B6C#
~~ pass : , 38*86C010B7CB#7211
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/5422520175774B3#.wav" decoded to "4225201774B3#" instead of "5422520175774B3#"
~~ pass : , B#A1C
~~ pass : , 6B*B9BB#
~~ pass : , 764#36488435
~~ pass : , B*C2C801
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/19B9232#688C*7164.wav" decoded to "19B232#68C*7164" instead of "19B9232#688C*7164"
~~ pass : , 6#7B255C#142
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*B9260#7#5.wav" decoded to "*B92600#7#5" instead of "*B9260#7#5"
~~ pass : , 9296419BB2911*875A7
~~ pass : , 1#B3B0B3
~~ pass : , *BBA9A43967C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/957A*B86B94A73*88.wav" decoded to "957A*B86B94A73*8" instead of "957A*B86B94A73*88"
~~ pass : , 3AAA361C#6*C6#34
~~ pass : , #40CB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/773254B1#36881B4442.wav" decoded to "773254B1#368814442" instead of "773254B1#36881B4442"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/312**B.wav" decoded to "312***" instead of "312**B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8#BA8B78B1.wav" decoded to "8#BA8B7B1" instead of "8#BA8B78B1"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/#4*CC*088#CC1*6307.wav" decoded to "#4*CC*08##CC1*6307" instead of "#4*CC*088#CC1*6307"
~~ pass : , C3*434*0
~~ pass : , 0*4317#
~~ pass : , 3365#CBA50CBB0#0#3
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/23#*#282459#.wav" decoded to "223#*#28245#" instead of "23#*#282459#"
~~ pass : , 985*#1A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/1260CB6#609*74*3.wav" decoded to "1260CB6#609*4*3" instead of "1260CB6#609*74*3"
~~ pass : , A9369778299#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/3867362B33#177.wav" decoded to "386362B33#177" instead of "3867362B33#177"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/870BA*5*#36323.wav" decoded to "870BA*5*#363233" instead of "870BA*5*#36323"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B7*A#7#*B40A4CA56AC.wav" decoded to "B7*A#7#*B40A4C56AC" instead of "B7*A#7#*B40A4CA56AC"
~~ pass : , A1CB4C76CC00
~~ pass : , AA93064686
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/58B#73.wav" decoded to "58B#3" instead of "58B#73"
~~ pass : , 1B2*2C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/#B#37A45855.wav" decoded to "#B#3374585" instead of "#B#37A45855"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*7789C08C#48737A33.wav" decoded to "*779C08C#48737A33" instead of "*7789C08C#48737A33"
~~ pass : , C129A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/6C86#*1#83C4C13858.wav" decoded to "6C86#*1#83CC13858" instead of "6C86#*1#83C4C13858"
~~ pass : , 78318A5
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/1136B86413BA.wav" decoded to "113686413BA" instead of "1136B86413BA"
~~ pass : , 50A7B305*B12*AB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/3B*839A55B52A#4502.wav" decoded to "3*83A55B52A#4502" instead of "3B*839A55B52A#4502"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*6#9188090.wav" decoded to "*6#91880090" instead of "*6#9188090"
~~ pass : , 8#A238*C8
~~ pass : , B437439B50A*A17
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/273#6AC8.wav" decoded to "23#6C8" instead of "273#6AC8"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/28B294578.wav" decoded to "28294578" instead of "28B294578"
~~ pass : , 5B481
~~ pass : , 4699C72
~~ pass : , 6A1#03*2BC23C7
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8A39*2C#3.wav" decoded to "8A339*2C#3" instead of "8A39*2C#3"
~~ pass : , B36BC*#067#5B9978
~~ pass : , A0#091A7334
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/7#BC3B6AA793BC5B81.wav" decoded to "7#BC3B6AA793BC5B811" instead of "7#BC3B6AA793BC5B81"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*2851937083A48BB4.wav" decoded to "**2851937083A48BB4" instead of "*2851937083A48BB4"
~~ pass : , A19539342876
~~ pass : , 8B2CC82C6*B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B#68#BA802*09A12.wav" decoded to "B#68##BA802*09A12" instead of "B#68#BA802*09A12"
~~ pass : , 0#41*C0CB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/6#556*A96#6312*6.wav" decoded to "6#556*A96#312*6" instead of "6#556*A96#6312*6"
~~ pass : , AA9*270A36B5
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/A591073A0BAC03#.wav" decoded to "A59107A0BAC0#" instead of "A591073A0BAC03#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8723914*92C2086988.wav" decoded to "8723914*92C208688" instead of "8723914*92C2086988"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/98355270*5C7973#726.wav" decoded to "9835527*5C7973#726" instead of "98355270*5C7973#726"
~~ pass : , 18*7151
~~ pass : , C578B#A7
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/65440BB**.wav" decoded to "654400BB**" instead of "65440BB**"
~~ pass : , 4A#0#6
~~ pass : , 25*0##C404#90B96
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/2CCB0.wav" decoded to "2CB0" instead of "2CCB0"
~~ pass : , AC###*84#B
~~ pass : , 5A*7AC89#175*0B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/17A1A6B610708.wav" decoded to "117A1A6B610708" instead of "17A1A6B610708"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/43C334*#1.wav" decoded to "3C334*#1" instead of "43C334*#1"
~~ pass : , 2C#36B9*75#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/CB0C9B5676A37855887.wav" decoded to "CB0C9B576A3785887" instead of "CB0C9B5676A37855887"
~~ pass : , #A4A0597A83B32
~~ pass : , 4C328BC40254A234#B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/9543B##*5203*51.wav" decoded to "9543B##*52003*1" instead of "9543B##*5203*51"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/7371A7.wav" decoded to "73711AA7" instead of "7371A7"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/948#AB19#88.wav" decoded to "948#AB11#88" instead of "948#AB19#88"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8*3*ACC7*5.wav" decoded to "8*33*ACC7**5" instead of "8*3*ACC7*5"
~~ pass : , 93A#34C4
~~ pass : , 553A392*ABBB83A18
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/139624*#**86*8.wav" decoded to "139624*#**86*" instead of "139624*#**86*8"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/2B1648*.wav" decoded to "2B148*" instead of "2B1648*"
~~ pass : , 44B31868#
~~ pass : , AA16B#56A2C*5*711
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B9A7616.wav" decoded to "B9AA7616" instead of "B9A7616"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/C83674#6771*579#*BB.wav" decoded to "C83674#671*9#*BB" instead of "C83674#6771*579#*BB"
~~ pass : , A3#60
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/914462CA#166095.wav" decoded to "914462CA#16095" instead of "914462CA#166095"
~~ pass : , 3#038B07827B6
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/7A1723277A37.wav" decoded to "A17232277A37" instead of "7A1723277A37"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/1C2B8A#C384303*03.wav" decoded to "1C2BA#C384303*03" instead of "1C2B8A#C384303*03"
~~ pass : , #4351462
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8#18*36##AA1AC.wav" decoded to "8#1*36##AAA1AC" instead of "8#18*36##AA1AC"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/9B182.wav" decoded to "B182" instead of "9B182"
~~ pass : , C87B140A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/A#98A43B6087.wav" decoded to "AA#98A43B6087" instead of "A#98A43B6087"
~~ pass : , 28AA31
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/C80A*19C205B7C.wav" decoded to "C80A*119C205B7C" instead of "C80A*19C205B7C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/1017971.wav" decoded to "101971" instead of "1017971"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/6*0A8785688AC9**8.wav" decoded to "6*0A8785688AC9***8" instead of "6*0A8785688AC9**8"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/668007BC815#545A.wav" decoded to "6680007BC815#545A" instead of "668007BC815#545A"
~~ pass : , BABC2##
~~ pass : , 54801AB*3
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/710*A.wav" decoded to "7100*A" instead of "710*A"
~~ pass : , C9792B
~~ pass : , *#59B44
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B6014.wav" decoded to "B601" instead of "B6014"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/4*8B249#3*4.wav" decoded to "4*8249#3*4" instead of "4*8B249#3*4"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/73579AC519C244B.wav" decoded to "73579AC19C244B" instead of "73579AC519C244B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/71*50156046#86C7B.wav" decoded to "71*5015606#86C7B" instead of "71*50156046#86C7B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/70*8#26011466763.wav" decoded to "70*8#2601146763" instead of "70*8#26011466763"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/C33#664#8#824BC2729.wav" decoded to "C33#664#8#8224BC2729" instead of "C33#664#8#824BC2729"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/CB40A#296#BA43146C5.wav" decoded to "CB40A#2296#BA43146C5" instead of "CB40A#296#BA43146C5"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*29*014C61C063B.wav" decoded to "*29*014C6C03B" instead of "*29*014C61C063B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/1903640#*61A.wav" decoded to "190360#*61A" instead of "1903640#*61A"
~~ pass : , B16*213*#7
~~ pass : , 7791C
~~ pass : , 87AC0
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/862*C*#704C4*#56A0*.wav" decoded to "8622*C**#70C4**#56A0*" instead of "862*C*#704C4*#56A0*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/5737730*94A8B.wav" decoded to "57377330*94A8B" instead of "5737730*94A8B"
~~ pass : , 511CB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/5044623BC3.wav" decoded to "50446223B3" instead of "5044623BC3"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/372#8A7B3A*3C5.wav" decoded to "3372#8A7B3A**3C5" instead of "372#8A7B3A*3C5"
~~ pass : , 2954*##008368
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/7*11*6A193503694.wav" decoded to "7*1*A193503694" instead of "7*11*6A193503694"
~~ pass : , 818B**#488C78BC
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/544325C73065A.wav" decoded to "544325C7306A" instead of "544325C73065A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/408C#B1424##.wav" decoded to "0C#1424##" instead of "408C#B1424##"
~~ pass : , 0#11627C2B7A*BBCC
~~ pass : , 1*BBAA6A743B39
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/81A#BC5#196661B5C.wav" decoded to "1A#BC5#196661B5C" instead of "81A#BC5#196661B5C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/92346296184461.wav" decoded to "923462296184461" instead of "92346296184461"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/2398B84#B4785B82.wav" decoded to "2398B84#B785B82" instead of "2398B84#B4785B82"
~~ pass : , A071271#2759
~~ pass : , 26349618200B*
~~ pass : , 4C441#30C089279
~~ pass : , 5*998
~~ pass : , 7*AB69*3B7A
~~ pass : , 7#966*4532B01
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/A*C99489.wav" decoded to "A*C9989" instead of "A*C99489"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/58B252C940744211#.wav" decoded to "58B252C9407442211#" instead of "58B252C940744211#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/84A365B3#2775281BBA.wav" decoded to "84A365B3#275281BBA" instead of "84A365B3#2775281BBA"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/59A20320#50A52.wav" decoded to "59A203220#50A52" instead of "59A20320#50A52"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/0863*.wav" decoded to "0863**" instead of "0863*"
~~ pass : , 310296
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/86A98.wav" decoded to "86A9" instead of "86A98"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B0B61629#C01C6#2*6.wav" decoded to "0B61629#C01C6#2*6" instead of "B0B61629#C01C6#2*6"
~~ pass : , #97A6462
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/2C4BA211A1669BCA74.wav" decoded to "2C4BA2111A166BCA74" instead of "2C4BA211A1669BCA74"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/8A9093*9AB5#1.wav" decoded to "8A9093*9A5#1" instead of "8A9093*9AB5#1"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/6C9#20B.wav" decoded to "6C#20B" instead of "6C9#20B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/1114699.wav" decoded to "111114699" instead of "1114699"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/633297*9.wav" decoded to "63327*9" instead of "633297*9"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/15747B821#9142892*8.wav" decoded to "15747821#142892**8" instead of "15747B821#9142892*8"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/52C8289C#CC978574.wav" decoded to "5228289C#CC978574" instead of "52C8289C#CC978574"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/5*72563345968.wav" decoded to "5*7253345968" instead of "5*72563345968"
~~ pass : , 1AB500#C2*#*236
~~ pass : , 77#A357B34
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/*A93A8B.wav" decoded to "*A93A8" instead of "*A93A8B"
~~ pass : , 5*6*5
~~ pass : , 2955679#0
~~ pass : , 1#369*7C10
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/3*87295B9.wav" decoded to "*87295B9" instead of "3*87295B9"
~~ pass : , 8C46A8#8533610035
~~ pass : , 8C61#5A60202
